temp (K)	%La PC	%la PE
284	100	80.8332420715
286	100	79.8172644732
288	99.9701117456	81.2944381892
290	99.9612439221	82.5339643036
292	99.9814443551	79.5143048197
294	99.9802067062	80.2985287937
296	99.9772574629	79.1970058801
298	99.976096703	78.7233055793
300	99.9722868181	78.3790129854
302	99.9712290094	78.5430461018
304	99.9678687866	78.7240458722
306	95.8808024961	77.0862411422
308	94.8555210966	71.1242863676
310	84.7082318187	64.5545506775
312	83.0761306132	57.9658621426
314	80.7816639185	56.2462554832
316	83.9619388987	49.8541695915
318	84.3411986685	48.0698185556
320	74.4145749874	46.3287883188
322	69.2595488926	45.6892291853
