temp     PC    PE
284    96.2637025057    83.5318257969
286    93.9454377326    78.7515428276
288    96.2678122954    78.567233639
290    95.9521182061    80.8309688055
292    94.5161982142    78.6594999148
293    91.1695659469    78.1681104689
294    92.9640444399    80.8241851196
296    95.5920075531    79.3257471238
298    88.2197801811    75.9230419566
300    89.2241178517    72.635774452
302    84.0961179878    68.0410677805
304    77.6862104966    64.8054829171
306    80.0556700038    53.6113155015
308    68.4547989101    53.2950744434
310    67.9194276364    48.1580445887
312    60.2328586717    43.10048746
314    50.3581305251    37.8013467789
316    38.562630457     29.1624105133
318    21.7884707886    18.2766238418
320    5.1472438396     5.0873274884
