temp  PC PE
284 99.9998174542 92.3377398378
286 99.9998403971 91.4335765548
288 99.9997039081 84.1049093672
290 99.9996560227 89.5571082553
292 99.9996028804 89.8035294237
294 99.9996621572 86.7554295372
296 99.9985694137 87.5672215246
298 99.998437535 82.713138442
300 99.9976073664 88.482866735
302 99.9976775989 84.2559429615
304 99.9974003295 79.016413813
306 99.9723768303 71.5829931106
308 90.3983074347 69.9770959639
310 79.307104215 50.8080857618
312 65.5349204141 28.0461422391
314 61.214513362 20.1164353699
316 31.4088686934 12.6854081048
318 28.7632710511 6.7163573816
320 12.2202347887 2.8873414604
322 9.5636328374 1.0321210236
