temp  PC PE
284 99.9997063738 95.4728916867
286 99.9997327211 95.2371923647
288 99.9998065196 94.3518359993
290 99.9996290053 91.7778793363
292 99.9796985593 89.9884287072
294 99.9756287374 90.4977310809
296 99.9748794526 95.2063046055
298 100 96.4619493472
300 99.9571612118 88.9687678195
302 99.9474550646 91.7689554805
304 100 85.8424961869
306 99.9065488587 89.5929490633
308 99.6297947534 79.6116047946
310 90.8692583395 66.5321283338
312 87.0105544571 62.8314950184
314 62.4300983249 43.6594217915
316 50.5654587408 32.1610831862
318 46.1667462576 20.8478890628
320 32.5148504799 12.4943029539
322 15.2890058837 5.3050846213
